Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
SPO-01,324,Purchase Order Number,String (AN),Mandatory,1,22,-,Identifying number for Purchase Order assigned by the orderer/purchaser,,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-02,127,Reference Identification,String (AN),Optional,1,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,SPO02 is the department number.,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-03,355,Unit or Basis for Measurement Code,Identifier (ID),Conditional,2,2,-,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken","P0304: If either SPO-03 or SPO-04 is present, then the other is required",794,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-04,380,Quantity,Decimal number (R),Conditional,1,15,-,Numeric value of quantity,SPO04 is the total quantity for the purchase order.,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-05,188,Weight Unit Code,Identifier (ID),Conditional,1,1,-,Code specifying the weight unit,"P0506: If either SPO-05 or SPO-06 is present, then the other is required",8,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-06,81,Weight,Decimal number (R),Conditional,1,10,-,Numeric value of weight,SPO06 is the total weight for the purchase order.,,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-07,647,Application Error Condition Code,Identifier (ID),Optional,1,3,-,Code indicating application error condition,SPO07 indicates the data error condition relative to the shipment management information.,162,https://www.stedi.com/edi/x12-004010/segment/SPO
SPO-08,127,Reference Identification,String (AN),Optional,1,30,-,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,SPO08 is used to specify sorting and/or segregating reference numbers for each receiving location (processing area).,,https://www.stedi.com/edi/x12-004010/segment/SPO
