Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
ST-01,143,Transaction Set Identifier Code,Identifier (ID),Mandatory,3,3,-,Code uniquely identifying a Transaction Set,"The transaction set identifier (ST01) used by the translation routines of the interchange partners to select the appropriate transaction set definition (e.g., 810 selects the Invoice Transaction Set).",298,https://www.stedi.com/edi/x12-004010/segment/ST
ST-02,329,Transaction Set Control Number,String (AN),Mandatory,4,9,-,Identifying control number that must be unique within the transaction set functional group assigned by the originator for a transaction set,,,https://www.stedi.com/edi/x12-004010/segment/ST
