Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
DTM-01,374,Date/Time Qualifier,Identifier (ID),Mandatory,3,3,-,"Code specifying type of date or time, or both date and time",,1112,https://www.stedi.com/edi/x12-004010/segment/DTM
DTM-02,373,Date,Date (DT),Conditional,8,8,-,Date expressed as CCYYMMDD,"R020305: At least one of DTM-02, DTM-03 or DTM-05 is required",,https://www.stedi.com/edi/x12-004010/segment/DTM
DTM-03,337,Time,Time (TM),Conditional,4,8,-,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",,,https://www.stedi.com/edi/x12-004010/segment/DTM
DTM-04,623,Time Code,Identifier (ID),Optional,2,2,-,"Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow","C0403: If DTM-04 is present, then DTM-03 is required",51,https://www.stedi.com/edi/x12-004010/segment/DTM
DTM-05,1250,Date Time Period Format Qualifier,Identifier (ID),Conditional,2,3,-,"Code indicating the date format, time format, or date and time format","P0506: If either DTM-05 or DTM-06 is present, then the other is required",39,https://www.stedi.com/edi/x12-004010/segment/DTM
DTM-06,1251,Date Time Period,String (AN),Conditional,1,35,-,"Expression of a date, a time, or range of dates, times or dates and times",,,https://www.stedi.com/edi/x12-004010/segment/DTM
