Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
GS-01,479,Functional Identifier Code,Identifier (ID),Mandatory,2,2,-,Code identifying a group of application related transaction sets,,234,https://www.stedi.com/edi/x12-004010/segment/GS
GS-02,142,Application Sender's Code,String (AN),Mandatory,2,15,-,Code identifying party sending transmission; codes agreed to by trading partners,,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-03,124,Application Receiver's Code,String (AN),Mandatory,2,15,-,Code identifying party receiving transmission. Codes agreed to by trading partners,,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-04,373,Date,Date (DT),Mandatory,8,8,-,Date expressed as CCYYMMDD,GS04 is the group date.,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-05,337,Time,Time (TM),Mandatory,4,8,-,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",GS05 is the group time.,,https://www.stedi.com/edi/x12-004010/segment/GS
GS-06,28,Group Control Number,Numeric (N0),Mandatory,1,9,-,Assigned number originated and maintained by the sender,"The data interchange control number GS06 in this header must be identical to the same data element in the associated functional group trailer, GE02.",,https://www.stedi.com/edi/x12-004010/segment/GS
GS-07,455,Responsible Agency Code,Identifier (ID),Mandatory,1,2,-,Code used in conjunction with Data Element 480 to identify the issuer of the standard,,2,https://www.stedi.com/edi/x12-004010/segment/GS
GS-08,480,Version / Release / Industry Identifier Code,String (AN),Mandatory,1,12,-,"Code indicating the version, release, subrelease, and industry identifier of the EDI standard being used, including the GS and GE segments; if code in DE455 in GS segment is X, then in DE 480 positions 1-3 are the version number; positions 4-6 are the release and subrelease, level of the version; and positions 7-12 are the industry or trade association identifiers (optionally assigned by user); if code in DE455 in GS segment is T, then other formats are allowed",,36,https://www.stedi.com/edi/x12-004010/segment/GS
