Position,Element,Name,Type,Requirement,Min,Max,Repeat,Notes,Remarks,Codes,URL
MAN-01,88,Marks and Numbers Qualifier,Identifier (ID),Mandatory,1,2,-,Code specifying the application or source of Marks and Numbers (87),"MAN01/MAN02 and MAN04/MAN05 may be used to identify two different marks and numbers assigned to the same physical container.
When MAN01 contains code ""UC"" (U.P.C. Shipping Container Code) and MAN05/MAN06 contain a range of ID numbers, MAN03 is not used. The reason for this is that the U.P.C. Shipping Container code is the same on every carton that is represented in the range in MAN05/MAN06.",20,https://www.stedi.com/edi/x12-004010/segment/MAN
MAN-02,87,Marks and Numbers,String (AN),Mandatory,1,48,-,Marks and numbers used to identify a shipment or parts of a shipment,"When both MAN02 and MAN03 are used, MAN02 is the starting number of a sequential range and MAN03 is the ending number of that range.",,https://www.stedi.com/edi/x12-004010/segment/MAN
MAN-03,87,Marks and Numbers,String (AN),Optional,1,48,-,Marks and numbers used to identify a shipment or parts of a shipment,"MAN03 and/or MAN06 are only used when sending a range(s) of ID numbers.
When both MAN02/MAN03 and MAN05/MAN06 are used to send ranges of ID numbers, the integrity of the two ID numbers must be maintained.",,https://www.stedi.com/edi/x12-004010/segment/MAN
MAN-04,88,Marks and Numbers Qualifier,Identifier (ID),Conditional,1,2,-,Code specifying the application or source of Marks and Numbers (87),"P0405: If either MAN-04 or MAN-05 is present, then the other is required",20,https://www.stedi.com/edi/x12-004010/segment/MAN
MAN-05,87,Marks and Numbers,String (AN),Conditional,1,48,-,Marks and numbers used to identify a shipment or parts of a shipment,"When both MAN05 and MAN06 are used, MAN05 is the starting number of a sequential range, and MAN06 is the ending number of that range.",,https://www.stedi.com/edi/x12-004010/segment/MAN
MAN-06,87,Marks and Numbers,String (AN),Optional,1,48,-,Marks and numbers used to identify a shipment or parts of a shipment,"C0605: If MAN-06 is present, then MAN-05 is required",,https://www.stedi.com/edi/x12-004010/segment/MAN
